year,month,day,EUR/USD
1994,7,11,1.2491
1994,7,8,1.2106
1994,7,7,1.2148
1994,7,6,1.2197
1994,7,5,1.2109
1994,7,4,1.1974
1994,7,1,1.1982
1994,6,30,1.2052
1994,6,29,1.206
1994,6,28,1.2135
1994,6,27,1.2094
1994,6,24,1.2098
1994,6,23,1.196
1994,6,22,1.1947
1994,6,21,1.204
1994,6,20,1.1997
1994,6,17,1.1927
1994,6,16,1.175
1994,6,15,1.1772
1994,6,14,1.1713
1994,6,13,1.1723
1994,6,10,1.1589
1994,6,9,1.1573
1994,6,8,1.1572
1994,6,7,1.1575
1994,6,6,1.1553
1994,6,3,1.154
1994,6,2,1.1654
1994,6,1,1.1696
1994,5,31,1.1708
1994,5,30,1.1698
1994,5,27,1.1717
1994,5,26,1.168
1994,5,25,1.171
1994,5,24,1.165
1994,5,23,1.1715
1994,5,20,1.1699
1994,5,19,1.1626
1994,5,18,1.1645
1994,5,17,1.1535
1994,5,16,1.1524
1994,5,13,1.1545
1994,5,12,1.1559
1994,5,11,1.1543
1994,5,10,1.1524
1994,5,9,1.1645
1994,5,6,1.1582
1994,5,5,1.1555
1994,5,4,1.164
1994,5,3,1.1765
1994,5,2,1.171
1994,4,29,1.1679
1994,4,28,1.1618
1994,4,27,1.1563
1994,4,26,1.1528
1994,4,25,1.1484
1994,4,22,1.1432
1994,4,21,1.1445
1994,4,20,1.143
1994,4,19,1.1361
1994,4,18,1.131
1994,4,15,1.1293
1994,4,14,1.1315
1994,4,13,1.1325
1994,4,12,1.1285
1994,4,11,1.1305
1994,4,8,1.1298
1994,4,7,1.128
1994,4,6,1.1275
1994,4,5,1.126
1994,4,4,1.1375
1994,4,1,1.1368
1994,3,31,1.1517
1994,3,30,1.1505
1994,3,29,1.1507
1994,3,28,1.1531
1994,3,25,1.1545
1994,3,24,1.1545
1994,3,23,1.1466
1994,3,22,1.1412
1994,3,21,1.1404
1994,3,18,1.138
1994,3,17,1.1427
1994,3,16,1.1434
1994,3,15,1.1389
1994,3,14,1.1432
1994,3,11,1.147
1994,3,10,1.1475
1994,3,9,1.1337
1994,3,8,1.1282
1994,3,7,1.1267
1994,3,4,1.1257
1994,3,3,1.13
1994,3,2,1.1336
1994,3,1,1.13
1994,2,28,1.1332
1994,2,25,1.1315
1994,2,24,1.1274
1994,2,23,1.121
1994,2,22,1.1243
1994,2,21,1.1191
1994,2,18,1.129
1994,2,17,1.1242
1994,2,16,1.1233
1994,2,15,1.1188
1994,2,14,1.1223
1994,2,11,1.106
1994,2,10,1.1073
1994,2,9,1.1105
1994,2,8,1.1031
1994,2,7,1.1066
1994,2,4,1.1067
1994,2,3,1.1162
1994,2,2,1.1206
1994,2,1,1.1227
1994,1,31,1.121
1994,1,28,1.1151
1994,1,27,1.123
1994,1,26,1.114
1994,1,25,1.1118
1994,1,24,1.1098
1994,1,21,1.1087
1994,1,20,1.1157
1994,1,19,1.1112
1994,1,18,1.112
1994,1,17,1.1068
1994,1,14,1.1087
1994,1,13,1.1092
1994,1,12,1.1179
1994,1,11,1.1126
1994,1,10,1.1158
1994,1,7,1.122
1994,1,6,1.1128
1994,1,5,1.1159
1994,1,4,1.1177
1994,1,3,1.1117
1993,12,31,1.113
1993,12,30,1.1163
1993,12,29,1.1197
1993,12,28,1.1371
1993,12,27,1.1362
1993,12,24,1.141
1993,12,23,1.141
1993,12,22,1.1344
1993,12,21,1.1327
1993,12,20,1.1287
1993,12,17,1.1294
1993,12,16,1.1286
1993,12,15,1.1248
1993,12,14,1.1269
1993,12,13,1.1301
1993,12,10,1.1365
1993,12,9,1.1313
1993,12,8,1.1315
1993,12,7,1.1315
1993,12,6,1.134
1993,12,3,1.1195
1993,12,2,1.116
1993,12,1,1.1157
1993,11,30,1.1205
1993,11,29,1.1256
1993,11,26,1.122
1993,11,25,1.1244
1993,11,24,1.1274
1993,11,23,1.1265
1993,11,22,1.126
1993,11,19,1.1201
1993,11,18,1.1229
1993,11,17,1.1283
1993,11,16,1.1269
1993,11,15,1.1329
1993,11,12,1.1373
1993,11,11,1.1302
1993,11,10,1.134
1993,11,9,1.1305
1993,11,8,1.1365
1993,11,5,1.1333
1993,11,4,1.1322
1993,11,3,1.133
1993,11,2,1.129
1993,11,1,1.129
1993,10,29,1.133
1993,10,28,1.1415
1993,10,27,1.1381
1993,10,26,1.14
1993,10,25,1.1358
1993,10,22,1.1398
1993,10,21,1.1433
1993,10,20,1.158
1993,10,19,1.1558
1993,10,18,1.1562
1993,10,15,1.1692
1993,10,14,1.1707
1993,10,13,1.181
1993,10,12,1.186
1993,10,11,1.1773
1993,10,8,1.1772
1993,10,7,1.1652
1993,10,6,1.1679
1993,10,5,1.1669
1993,10,4,1.1698
1993,10,1,1.1633
1993,9,30,1.1618
1993,9,29,1.1778
1993,9,28,1.1773
1993,9,27,1.1688
1993,9,24,1.1629
1993,9,23,1.1607
1993,9,22,1.167
1993,9,21,1.1769
1993,9,20,1.1824
1993,9,17,1.1779
1993,9,16,1.1852
1993,9,15,1.1909
1993,9,14,1.1831
1993,9,13,1.1867
1993,9,10,1.1865
1993,9,9,1.181
1993,9,8,1.1707
1993,9,7,1.1713
1993,9,6,1.1747
1993,9,3,1.165
1993,9,2,1.1515
1993,9,1,1.1453
1993,8,31,1.138
1993,8,30,1.138
1993,8,27,1.1425
1993,8,26,1.1412
1993,8,25,1.1333
1993,8,24,1.1393
1993,8,23,1.1358
1993,8,20,1.142
1993,8,19,1.1324
1993,8,18,1.1354
1993,8,17,1.1262
1993,8,16,1.1271
1993,8,13,1.1107
1993,8,12,1.112
1993,8,11,1.1113
1993,8,10,1.1092
1993,8,9,1.1202
1993,8,6,1.127
1993,8,5,1.1208
1993,8,4,1.1255
1993,8,3,1.1173
1993,8,2,1.1107
1993,7,30,1.0935
1993,7,29,1.1142
1993,7,28,1.1302
1993,7,27,1.1244
1993,7,26,1.1265
1993,7,23,1.1282
1993,7,22,1.1402
1993,7,21,1.1463
1993,7,20,1.1458
1993,7,19,1.14
1993,7,16,1.132
1993,7,15,1.1307
1993,7,14,1.1363
1993,7,13,1.1361
1993,7,12,1.1274
1993,7,9,1.1331
1993,7,8,1.1477
1993,7,7,1.1475
1993,7,6,1.1486
1993,7,5,1.154
1993,7,2,1.154
1993,7,1,1.1571
1993,6,30,1.1471
1993,6,29,1.1606
1993,6,28,1.155
1993,6,25,1.1467
1993,6,24,1.1476
1993,6,23,1.1578
1993,6,22,1.155
1993,6,21,1.1612
1993,6,18,1.1663
1993,6,17,1.1806
1993,6,16,1.181
1993,6,15,1.1884
1993,6,14,1.2012
1993,6,11,1.2009
1993,6,10,1.2011
1993,6,9,1.1962
1993,6,8,1.2027
1993,6,7,1.206
1993,6,4,1.1999
1993,6,3,1.2225
1993,6,2,1.2203
1993,6,1,1.23
1993,5,31,1.2241
1993,5,28,1.2295
1993,5,27,1.218
1993,5,26,1.2028
1993,5,25,1.2021
1993,5,24,1.1978
1993,5,21,1.2057
1993,5,20,1.2107
1993,5,19,1.2059
1993,5,18,1.2058
1993,5,17,1.2105
1993,5,14,1.2178
1993,5,13,1.2067
1993,5,12,1.2144
1993,5,11,1.216
1993,5,10,1.2155
1993,5,7,1.2346
1993,5,6,1.2435
1993,5,5,1.2385
1993,5,4,1.2405
1993,5,3,1.237
1993,4,30,1.233
1993,4,29,1.2388
1993,4,28,1.2388
1993,4,27,1.2315
1993,4,26,1.244
1993,4,23,1.2326
1993,4,22,1.227
1993,4,21,1.219
1993,4,20,1.2203
1993,4,19,1.2188
1993,4,16,1.2056
1993,4,15,1.2133
1993,4,14,1.2217
1993,4,13,1.232
1993,4,12,1.2221
1993,4,9,1.213
1993,4,8,1.2123
1993,4,7,1.2014
1993,4,6,1.2067
1993,4,5,1.2164
1993,4,2,1.2148
1993,4,1,1.2178
1993,3,31,1.207
1993,3,30,1.1978
1993,3,29,1.1918
1993,3,26,1.1875
1993,3,25,1.1809
1993,3,24,1.183
1993,3,23,1.1895
1993,3,22,1.1843
1993,3,19,1.1857
1993,3,18,1.181
1993,3,17,1.1675
1993,3,16,1.1662
1993,3,15,1.1663
1993,3,12,1.165
1993,3,11,1.168
1993,3,10,1.1653
1993,3,9,1.1659
1993,3,8,1.1697
1993,3,5,1.1675
1993,3,4,1.1854
1993,3,3,1.1799
1993,3,2,1.1839
1993,3,1,1.1738
1993,2,26,1.178
1993,2,25,1.1824
1993,2,24,1.1885
1993,2,23,1.1917
1993,2,22,1.1925
1993,2,19,1.1872
1993,2,18,1.1905
1993,2,17,1.1945
1993,2,16,1.193
1993,2,15,1.1733
1993,2,12,1.174
1993,2,11,1.1743
1993,2,10,1.173
1993,2,9,1.1783
1993,2,8,1.1781
1993,2,5,1.175
1993,2,4,1.1759
1993,2,3,1.1815
1993,2,2,1.1898
1993,2,1,1.1932
1993,1,29,1.211
1993,1,28,1.2311
1993,1,27,1.2315
1993,1,26,1.2431
1993,1,25,1.244
1993,1,22,1.2321
1993,1,21,1.2157
1993,1,20,1.2251
1993,1,19,1.2185
1993,1,18,1.2172
1993,1,15,1.201
1993,1,14,1.208
1993,1,13,1.2095
1993,1,12,1.2046
1993,1,11,1.2054
1993,1,8,1.191
1993,1,7,1.198
1993,1,6,1.199
1993,1,5,1.204
1993,1,4,1.1909
1992,12,31,1.2047
1992,12,30,1.2064
1992,12,29,1.209
1992,12,28,1.205
1992,12,25,1.222
1992,12,24,1.222
1992,12,23,1.225
1992,12,22,1.2291
1992,12,21,1.2451
1992,12,18,1.2485
1992,12,17,1.256
1992,12,16,1.2571
1992,12,15,1.2511
1992,12,14,1.2495
1992,12,11,1.243
1992,12,10,1.2401
1992,12,9,1.246
1992,12,8,1.2615
1992,12,7,1.2617
1992,12,4,1.2352
1992,12,3,1.2385
1992,12,2,1.2442
1992,12,1,1.2428
1992,11,30,1.2312
1992,11,27,1.2245
1992,11,26,1.229
1992,11,25,1.235
1992,11,24,1.2289
1992,11,23,1.2264
1992,11,20,1.2313
1992,11,19,1.2473
1992,11,18,1.237
1992,11,17,1.2372
1992,11,16,1.236
