,year,month,day,XAU_Price
958,2020,8,14,31123.36
957,2020,8,17,30992.04
956,2020,8,18,31616.16
955,2020,8,19,31915.03
954,2020,8,20,30730.02
953,2020,8,21,31015.66
952,2020,8,24,30838.87
951,2020,8,25,30648.26
950,2020,8,26,30658.16
949,2020,8,27,31005.96
948,2020,8,28,30623.96
947,2020,8,31,31131.88
946,2020,9,1,31229.76
945,2020,9,2,31271.14
944,2020,9,3,30813.38
943,2020,9,4,30522.72
942,2020,9,7,30465.39
941,2020,9,8,30494.86
940,2020,9,9,30520.02
939,2020,9,10,30717.61
938,2020,9,11,30675.52
937,2020,9,14,30522.96
936,2020,9,15,30853.04
935,2020,9,16,30820.15
934,2020,9,17,30881.58
933,2020,9,18,30642.42
932,2020,9,21,30685.87
931,2020,9,22,30087.66
930,2020,9,23,29972.29
929,2020,9,24,29350.89
928,2020,9,25,29463.38
927,2020,9,28,29349.45
926,2020,9,29,29652.49
925,2020,9,30,29908.68
924,2020,10,1,29729.68
923,2020,10,2,30019.55
922,2020,10,5,29865.27
921,2020,10,6,30099.34
920,2020,10,7,29527.49
919,2020,10,8,29644.12
918,2020,10,9,29749.97
917,2020,10,12,30197.87
916,2020,10,13,30185.51
915,2020,10,14,29672.64
914,2020,10,15,29844.15
913,2020,10,16,29965.15
912,2020,10,19,29819.66
911,2020,10,20,29895.63
910,2020,10,21,29933.91
909,2020,10,22,30216.24
908,2020,10,23,29913.12
907,2020,10,26,29885.88
906,2020,10,27,29862.9
905,2020,10,28,29971.31
904,2020,10,29,29477.38
903,2020,10,30,29325.63
902,2020,11,2,29484.61
901,2020,11,3,29826.88
900,2020,11,4,30001.25
899,2020,11,5,29951.5
898,2020,11,6,30573.04
897,2020,11,9,30566.7
896,2020,11,10,29185.63
895,2020,11,11,29377.73
894,2020,11,12,29193.77
893,2020,11,13,29358.68
892,2020,11,16,29483.34
891,2020,11,17,29539.36
890,2020,11,18,29383.21
889,2020,11,19,29245.59
888,2020,11,20,29113.44
887,2020,11,23,29148.56
886,2020,11,24,28747.2
885,2020,11,25,28290.62
884,2020,11,26,28309.62
883,2020,11,27,28325.57
882,2020,11,30,27998.69
881,2020,12,1,27821.34
880,2020,12,2,28425.82
879,2020,12,3,28666.67
878,2020,12,4,28849.19
877,2020,12,7,28856.53
876,2020,12,8,29203.0
875,2020,12,9,29327.86
874,2020,12,10,28874.57
873,2020,12,11,28855.13
872,2020,12,14,29588.82
871,2020,12,15,28759.28
870,2020,12,16,29118.6
869,2020,12,17,29264.38
868,2020,12,18,29621.47
867,2020,12,21,29415.58
866,2020,12,22,29394.58
865,2020,12,23,29152.26
864,2020,12,24,29406.52
863,2020,12,28,29535.86
862,2020,12,29,29450.6
861,2020,12,30,29555.63
860,2020,12,31,29801.54
859,2021,1,1,29873.53
858,2021,1,4,29913.01
857,2021,1,5,30581.2
856,2021,1,6,30616.55
855,2021,1,7,30126.45
854,2021,1,8,30046.01
853,2021,1,11,28905.27
852,2021,1,12,28840.34
851,2021,1,13,29057.27
850,2021,1,14,28895.19
849,2021,1,15,28909.89
848,2021,1,18,28732.65
847,2021,1,19,28858.13
846,2021,1,20,28911.22
845,2021,1,21,29471.29
844,2021,1,22,29412.84
843,2021,1,25,29169.64
842,2021,1,26,29156.15
841,2021,1,27,29113.04
840,2021,1,28,28964.95
839,2021,1,29,28953.02
838,2021,2,1,29354.62
837,2021,2,2,29269.23
836,2021,2,3,28919.31
835,2021,2,4,28832.15
834,2021,2,5,28150.15
833,2021,2,8,28439.88
832,2021,2,9,28667.01
831,2021,2,10,28789.96
830,2021,2,11,28867.61
829,2021,2,12,28535.02
828,2021,2,15,28400.1
827,2021,2,16,28418.2
826,2021,2,17,28031.6
825,2021,2,18,27764.15
824,2021,2,19,27808.12
823,2021,2,22,27936.71
822,2021,2,23,28377.29
821,2021,2,24,28311.77
820,2021,2,25,28302.36
819,2021,2,26,27787.39
818,2021,3,1,27277.14
817,2021,3,2,27132.3
816,2021,3,3,27251.79
815,2021,3,4,26808.64
814,2021,3,5,26648.3
813,2021,3,8,26733.93
812,2021,3,9,26482.96
811,2021,3,10,26990.27
810,2021,3,11,27161.71
809,2021,3,12,27044.76
808,2021,3,15,27058.67
807,2021,3,16,27205.73
806,2021,3,17,27168.44
805,2021,3,18,27414.68
804,2021,3,19,27228.5
803,2021,3,22,27467.13
802,2021,3,23,27352.52
801,2021,3,24,27226.37
800,2021,3,25,27332.03
799,2021,3,26,27122.72
798,2021,3,29,27209.86
797,2021,3,30,26881.43
796,2021,3,31,26490.34
795,2021,4,1,26837.35
794,2021,4,2,27177.51
793,2021,4,5,27158.61
792,2021,4,6,27149.96
791,2021,4,7,27392.96
