Date,Price,Open,High,Low
03/20/1996,1.2572,1.2570,1.2589,1.2535
03/19/1996,1.2573,1.2515,1.2580,1.2503
03/18/1996,1.2524,1.2572,1.2606,1.2514
03/15/1996,1.2578,1.2552,1.2612,1.2502
03/14/1996,1.2564,1.2545,1.2579,1.2529
03/13/1996,1.2561,1.2532,1.2585,1.2523
03/12/1996,1.2552,1.2486,1.2558,1.2460
03/11/1996,1.2490,1.2500,1.2539,1.2475
03/08/1996,1.2490,1.2550,1.2602,1.2460
03/07/1996,1.2568,1.2535,1.2575,1.2489
03/06/1996,1.2568,1.2603,1.2603,1.2552
03/05/1996,1.2597,1.2552,1.2604,1.2530
03/04/1996,1.2555,1.2540,1.2583,1.2530
03/01/1996,1.2520,1.2555,1.2555,1.2490
02/29/1996,1.2551,1.2590,1.2632,1.2544
02/28/1996,1.2623,1.2695,1.2728,1.2600
02/27/1996,1.2700,1.2640,1.2732,1.2640
02/26/1996,1.2658,1.2690,1.2719,1.2653
02/23/1996,1.2680,1.2660,1.2712,1.2591
02/22/1996,1.2655,1.2650,1.2667,1.2610
02/21/1996,1.2668,1.2662,1.2699,1.2619
02/20/1996,1.2663,1.2667,1.2678,1.2579
02/19/1996,1.2666,1.2540,1.2689,1.2538
02/16/1996,1.2570,1.2500,1.2580,1.2470
02/15/1996,1.2502,1.2520,1.2532,1.2460
02/14/1996,1.2517,1.2480,1.2535,1.2468
02/13/1996,1.2471,1.2455,1.2485,1.2418
02/12/1996,1.2460,1.2445,1.2513,1.2440
02/09/1996,1.2448,1.2443,1.2486,1.2409
02/08/1996,1.2440,1.2435,1.2454,1.2395
02/07/1996,1.2435,1.2485,1.2487,1.2408
02/06/1996,1.2480,1.2500,1.2505,1.2450
02/05/1996,1.2500,1.2420,1.2530,1.2411
02/02/1996,1.2383,1.2356,1.2385,1.2320
02/01/1996,1.2371,1.2340,1.2388,1.2305
01/31/1996,1.2340,1.2307,1.2355,1.2299
01/30/1996,1.2300,1.2335,1.2358,1.2280
01/29/1996,1.2320,1.2257,1.2330,1.2243
01/26/1996,1.2255,1.2311,1.2335,1.2245
01/25/1996,1.2329,1.2401,1.2464,1.2285
01/24/1996,1.2389,1.2436,1.2443,1.2373
01/23/1996,1.2439,1.2478,1.2513,1.2410
01/22/1996,1.2470,1.2475,1.2501,1.2418
01/19/1996,1.2461,1.2550,1.2555,1.2439
01/18/1996,1.2543,1.2571,1.2639,1.2530
01/17/1996,1.2582,1.2605,1.2660,1.2572
01/16/1996,1.2626,1.2794,1.2794,1.2626
01/15/1996,1.2780,1.2815,1.2825,1.2763
01/12/1996,1.2813,1.2882,1.2896,1.2786
01/11/1996,1.2890,1.2918,1.2971,1.2870
01/10/1996,1.2937,1.2872,1.2945,1.2872
01/09/1996,1.2914,1.2842,1.2914,1.2842
01/08/1996,1.2861,1.2805,1.2901,1.2805
01/05/1996,1.2843,1.2798,1.2890,1.2753
01/04/1996,1.2800,1.2761,1.2800,1.2658
01/03/1996,1.2742,1.2792,1.2824,1.2738
01/02/1996,1.2797,1.2769,1.2852,1.2769
12/29/1995,1.2777,1.2771,1.2857,1.2771
12/28/1995,1.2768,1.2799,1.2863,1.2759
12/27/1995,1.2790,1.2805,1.2834,1.2747
12/26/1995,1.2810,1.2750,1.2815,1.2750
12/25/1995,1.2771,1.2771,1.2771,1.2771
12/22/1995,1.2776,1.2769,1.2776,1.2698
12/21/1995,1.2765,1.2784,1.2789,1.2729
12/20/1995,1.2766,1.2730,1.2766,1.2710
12/19/1995,1.2730,1.2838,1.2838,1.2725
12/18/1995,1.2838,1.2761,1.2841,1.2747
12/15/1995,1.2730,1.2734,1.2771,1.2715
12/14/1995,1.2735,1.2636,1.2770,1.2608
12/13/1995,1.2634,1.2673,1.2679,1.2599
12/12/1995,1.2672,1.2722,1.2751,1.2643
12/11/1995,1.2721,1.2737,1.2776,1.2709
12/08/1995,1.2731,1.2755,1.2775,1.2680
12/07/1995,1.2740,1.2760,1.2817,1.2735
12/06/1995,1.2780,1.2877,1.2877,1.2765
12/05/1995,1.2851,1.2775,1.2862,1.2765
12/04/1995,1.2770,1.2757,1.2833,1.2755
12/01/1995,1.2757,1.2760,1.2790,1.2717
11/30/1995,1.2755,1.2860,1.2887,1.2720
11/29/1995,1.2859,1.2940,1.2965,1.2823
11/28/1995,1.2925,1.2900,1.2970,1.2871
11/27/1995,1.2893,1.2975,1.3000,1.2850
11/24/1995,1.2993,1.3000,1.3066,1.2975
11/23/1995,1.3001,1.3024,1.3046,1.2989
11/22/1995,1.3016,1.3031,1.3053,1.2965
11/21/1995,1.3019,1.3025,1.3034,1.2985
11/20/1995,1.3028,1.3010,1.3043,1.2902
11/17/1995,1.3090,1.3026,1.3090,1.3017
11/16/1995,1.3004,1.3035,1.3037,1.2971
11/15/1995,1.3006,1.2995,1.3080,1.2995
11/14/1995,1.2960,1.2925,1.2995,1.2900
11/13/1995,1.2910,1.2928,1.3006,1.2865
11/10/1995,1.2917,1.3048,1.3048,1.2900
11/09/1995,1.3043,1.2961,1.3047,1.2897
11/08/1995,1.2927,1.2940,1.2993,1.2920
11/07/1995,1.2962,1.2981,1.2986,1.2915
11/06/1995,1.2962,1.2930,1.2999,1.2905
11/03/1995,1.2933,1.2931,1.2975,1.2877
11/02/1995,1.2904,1.2958,1.2970,1.2889
11/01/1995,1.2963,1.3046,1.3046,1.2935
10/31/1995,1.3013,1.3053,1.3088,1.2975
10/30/1995,1.3040,1.3025,1.3083,1.2985
10/27/1995,1.3037,1.3127,1.3190,1.3028
10/26/1995,1.3098,1.3099,1.3140,1.2963
10/25/1995,1.3099,1.3094,1.3151,1.3055
10/24/1995,1.3094,1.3143,1.3184,1.3074
10/23/1995,1.3140,1.3063,1.3213,1.3063
10/20/1995,1.3088,1.3020,1.3125,1.2985
10/19/1995,1.3020,1.2923,1.3047,1.2907
10/18/1995,1.2909,1.2975,1.3022,1.2859
10/17/1995,1.2968,1.2937,1.2986,1.2917
10/16/1995,1.2933,1.2950,1.2989,1.2926
10/13/1995,1.2934,1.2965,1.3007,1.2870
10/12/1995,1.2983,1.2896,1.2990,1.2875
10/11/1995,1.2896,1.2930,1.2955,1.2830
10/10/1995,1.2930,1.2955,1.2965,1.2893
10/09/1995,1.2957,1.2888,1.2993,1.2888
10/06/1995,1.2890,1.2951,1.2956,1.2810
10/05/1995,1.2946,1.2920,1.2958,1.2830
10/04/1995,1.2910,1.2864,1.2937,1.2839
10/03/1995,1.2884,1.2963,1.2986,1.2840
10/02/1995,1.2982,1.2969,1.2984,1.2914
09/29/1995,1.2971,1.3038,1.3079,1.2935
09/28/1995,1.3040,1.3014,1.3071,1.2985
09/27/1995,1.3000,1.2930,1.3052,1.2926
09/26/1995,1.2924,1.2932,1.2957,1.2872
09/25/1995,1.2932,1.3000,1.3000,1.2929
09/22/1995,1.3000,1.2977,1.3101,1.2977
09/21/1995,1.2977,1.2762,1.2977,1.2749
09/20/1995,1.2762,1.2602,1.2800,1.2602
09/19/1995,1.2602,1.2642,1.2665,1.2580
09/18/1995,1.2640,1.2591,1.2662,1.2565
09/15/1995,1.2613,1.2610,1.2631,1.2521
09/14/1995,1.2605,1.2571,1.2640,1.2506
09/13/1995,1.2571,1.2687,1.2687,1.2525
09/12/1995,1.2687,1.2682,1.2725,1.2668
09/11/1995,1.2693,1.2735,1.2756,1.2689
09/08/1995,1.2692,1.2652,1.2697,1.2591
09/07/1995,1.2647,1.2668,1.2706,1.2647
09/06/1995,1.2670,1.2790,1.2790,1.2640
09/05/1995,1.2790,1.2775,1.2795,1.2730
09/04/1995,1.2775,1.2789,1.2824,1.2753
09/01/1995,1.2765,1.2780,1.2791,1.2708
08/31/1995,1.2746,1.2710,1.2799,1.2677
08/30/1995,1.2710,1.2677,1.2714,1.2651
08/29/1995,1.2667,1.2790,1.2790,1.2655
08/28/1995,1.2788,1.2748,1.2835,1.2742
08/25/1995,1.2700,1.2693,1.2735,1.2663
08/24/1995,1.2715,1.2670,1.2747,1.2575
08/23/1995,1.2668,1.2633,1.2712,1.2601
08/22/1995,1.2636,1.2684,1.2708,1.2610
08/21/1995,1.2711,1.2740,1.2749,1.2694
08/18/1995,1.2738,1.2715,1.2771,1.2654
08/17/1995,1.2726,1.2721,1.2750,1.2629
08/16/1995,1.2730,1.2720,1.2774,1.2632
08/15/1995,1.2720,1.3030,1.3047,1.2690
08/14/1995,1.3030,1.2993,1.3088,1.2975
08/11/1995,1.3010,1.3142,1.3142,1.3010
08/10/1995,1.3142,1.3247,1.3247,1.3100
08/09/1995,1.3241,1.3236,1.3255,1.3209
08/08/1995,1.3223,1.3218,1.3251,1.3192
08/07/1995,1.3218,1.3336,1.3361,1.3214
08/04/1995,1.3336,1.3373,1.3380,1.3305
08/03/1995,1.3392,1.3322,1.3420,1.3321
08/02/1995,1.3322,1.3485,1.3485,1.3260
08/01/1995,1.3500,1.3405,1.3525,1.3399
07/31/1995,1.3405,1.3439,1.3483,1.3396
07/28/1995,1.3446,1.3433,1.3500,1.3385
07/27/1995,1.3450,1.3389,1.3450,1.3383
